STATION_NM,STATION_ID,lon,lat
동편마을입구,209000259,126.9718333,37.40511667
종합운동장정문,209000261,126.9500167,37.40561667
귀인동행정복지센터,209000269,126.9693,37.38518333
한가람한양아파트,209000239,126.953,37.40001667
한가람삼성아파트,209000270,126.9556667,37.40085
롯데백화점.범계역(시외),209000395,126.9501167,37.39038333
평촌스마트베이.오비즈타워,209000271,126.9691667,37.39935
평촌스마트베이.오비즈타워,209000272,126.9689667,37.3992
동편프라자.스마트프라자,209000273,126.9712833,37.40663333
동편프라자.스마트프라자,209000274,126.9710333,37.40661667
비산화성파크드림,209000275,126.9318167,37.39893333
학운공원,209000276,126.9500667,37.39906667
샛별아파트,209000279,126.9529667,37.39606667
KT안양지사,209000280,126.9543667,37.3935
관양고등학교,209000281,126.9600667,37.4079
현대아파트앞,209000282,126.9578667,37.40596667
안양시청후문,209000283,126.9570167,37.39486667
무궁화진흥아파트,209000284,126.9590333,37.38025
호계중학교입구,209000285,126.9540333,37.37776667
한림대병원,209000286,126.9623333,37.39253333
초원대원아파트,209000287,126.9677833,37.38861667
초원럭키아파트,209000288,126.9679833,37.38878333
새중앙교회,209000289,126.9706667,37.3885
꿈마을우성아파트,209000290,126.9704833,37.3882
학운공원,209000292,126.9492,37.399
안양시의회,209000293,126.9549333,37.39343333
한가람한양아파트,209000294,126.9527667,37.4002
초원부영아파트,209000295,126.9657333,37.39225
샛별한양아파트.한양스포츠센터,209000296,126.9482167,37.39595
한가람삼성아파트,209000297,126.9555833,37.40106667
공작럭키아파트,209000298,126.9577167,37.40171667
평촌경영고등학교,209000299,126.9592167,37.4014
귀인초등학교,209000300,126.9657667,37.38696667
목련두산아파트.평촌고등학교,209000301,126.9553667,37.38688333
목련우성아파트,209000302,126.95525,37.38711667
안양법원,209000303,126.9633833,37.39678333
중앙공원,209000305,126.9595667,37.38838333
중앙공원,209000306,126.9593833,37.38856667
평촌중학교,209000307,126.9610833,37.38891667
평촌중학교,209000308,126.96145,37.38926667
샘마을대우.한양아파트,209000309,126.9655833,37.37613333
대안여자중학교,209000310,126.96575,37.37621667
샘마을.대안중학교,209000311,126.9675667,37.3778
샘마을쌍용.우방아파트,209000312,126.9678167,37.37776667
신기중학교.평촌더샵아이파크아파트,209000313,126.9594833,37.3788
평촌공업고등학교,209000314,126.9620667,37.374
평촌공업고등학교,209000315,126.9624,37.37386667
덕현초등학교,209000316,126.9614833,37.3751
무궁화태영아파트.평촌더샵아이파크,209000317,126.9579667,37.37773333
일심교회,209000318,126.9602167,37.37741667
일심교회,209000319,126.9608167,37.3769
H마트,209000320,126.961,37.37611667
H마트.평촌더샵아이파크아파트,209000321,126.96135,37.37586667
덕현초등학교,209000322,126.9618667,37.37488333
신기중학교,209000323,126.9601167,37.37818333
호계중학교입구,209000324,126.9541167,37.37763333
LG럭키아파트,209000325,126.9530833,37.377
LG연구소후문,209000326,126.954,37.37486667
LG연구소후문,209000327,126.9540333,37.37498333
호계성당입구,209000328,126.9544,37.37385
호계성당입구,209000329,126.9544833,37.37376667
LG연구소정문,209000330,126.9538167,37.37188333
LG연구소정문,209000331,126.9540333,37.37193333
홈플러스.국제유통단지후문,209000332,126.9539167,37.37093333
홈플러스.국제유통단지후문,209000333,126.9541333,37.37085
평촌도서관,209000334,126.95835,37.39535
진흥아파트정문,209000335,126.9304333,37.39785
새마을금고,209000336,126.9331833,37.39975
대림대앞.공영주차장,209000337,126.9325,37.40265
임곡주공2단지,209000338,126.9307,37.40055
대림대학,209000339,126.9308333,37.40203333
대림대학후문,209000340,126.9314333,37.4023
양성교회,209000341,126.9325,37.40345
양성교회,209000342,126.9325167,37.40323333
평화보육원,209000343,126.9330333,37.40431667
평화보육원,209000344,126.9333167,37.40446667
임곡주공아파트,209000345,126.9337833,37.40603333
임곡주공아파트,209000346,126.9339333,37.40581667
평촌도서관,209000347,126.95775,37.39535
안양교육지원청,209000348,126.95945,37.39596667
안양교육지원청,209000349,126.95955,37.39578333
안양광역등기소,209000350,126.9623333,37.39696667
법원.검찰청,209000351,126.9625,37.3968
세경아파트후문,209000352,126.9536,37.39585
LG럭키아파트,209000353,126.9529833,37.37666667
수촌마을,209000354,126.9564333,37.40575
명문약국,209000355,126.955,37.40583333
성원아파트입구,209000356,126.9527,37.40591667
운동장치안센터,209000357,126.9516,37.40371667
성원아파트입구,209000358,126.9544333,37.40375
수촌마을,209000359,126.95655,37.4038
비산초등학교,209000360,126.9439333,37.4061
비산초등학교,209000361,126.9441667,37.40565
비산3동행정복지센터,209000362,126.9452,37.40396667
비산3동행정복지센터,209000363,126.9454,37.40405
삼호아파트,209000364,126.9462167,37.4025
삼호뉴타운아파트,209000365,126.9464167,37.40233333
대주아파트.비산감리교회,209000366,126.9450333,37.40043333
동양아파트,209000367,126.9452,37.40046667
홈플러스.동안구청,209000368,126.9514833,37.39323333
동안구청.동안구보건소.우체국,209000369,126.9519667,37.39318333
중앙공원,209000370,126.9591167,37.39163333
비산사거리.이마트(마을),209000371,126.93495,37.39775
스마트스퀘어.대한전선앞,209000396,126.96555,37.39588333
GS파워,209000372,126.9662333,37.3919
현대아파트,209000373,126.95815,37.40595
종합운동장북문,209000374,126.9475167,37.4066
종합운동장북문,209000375,126.94765,37.40676667
종합운동장수영장,209000376,126.94905,37.40653333
종합운동장수영장,209000377,126.9492833,37.40666667
종합운동장정문,209000378,126.9503,37.40606667
종합운동장정문(마을),209000379,126.94965,37.40575
공작럭키아파트,209000380,126.9577667,37.4015
범계역.엔씨백화점,209000304,126.95145,37.39101667
평촌경영고등학교,209000381,126.9595333,37.40158333
스마트스퀘어체육공원,209000382,126.9645833,37.39893333
뉴젠스,209000383,126.96495,37.4004
관양두산벤처다임.네비웍스,209000384,126.96615,37.40201667
안양메가벨리,209000385,126.9689833,37.40213333
뷰윅스,209000386,126.9658667,37.39948333
더샵센트럴시티,209000387,126.9640833,37.39893333
관양고등학교,209000388,126.9603167,37.40786667
평촌스마트스퀘어,209000389,126.9664167,37.39748333
신한은행,209000390,126.9574,37.40396667
신한은행,209000391,126.9571667,37.40405
LS어린이집,209000392,126.9494667,37.37266667
호계푸르지오아파트,209000393,126.95075,37.3741
관악부영아파트,209000278,126.94495,37.397
관악타운정문,209000291,126.943,37.39625
범계역,209000394,126.9526667,37.38943333
청소년수련관,209000397,126.9503667,37.39193333
호계시외버스정류장,209000398,126.9541,37.38075
뷰윅스,209000232,126.9659667,37.39938333
비산로제비앙,209000399,126.93195,37.39938333
안양남초등학교입구,209000400,126.9674833,37.3781
평촌스마트스퀘어,209000401,126.9662,37.39743333
부림초등학교,209000402,126.9608167,37.4001
스마트베이(마을),209000228,126.9683667,37.39903333
서호전기,209000138,126.94195,37.38645
