NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,lon,lat
"2090024900","101","-","0",,126.94776070,37.40395600
"2090026000","101","-","0",,126.94350267,37.40632571
"2090025200","101","-","0",,126.94395776,37.40431462
"2090025700","101","-","0",,126.94391642,37.40588581
"2090020300","103","-","0",,126.94510420,37.39722615
"2090024200","101","-","0",,126.94483035,37.40289718
"2090020800","101","-","0",,126.94616354,37.39783896
"2090021100","104",학운교,"0",,126.94576389,37.39825337
"2090021500","104",학운교,"0",,126.94521879,37.39881859
"2090022100","101","-","0",,126.94518689,37.40055762
"2090024800","101","-","0",,126.94539682,37.40380546
"2090026200","101","-","0",,126.94489026,37.40646125
"2090025100","101","-","0",,126.94527398,37.40430846
"2090025400","101","-","0",,126.94291679,37.40536368
"2090023700","101","-","0",,126.94627636,37.40234090
"2090019800","103","-","0",,126.94256939,37.39623884
"2080023700","103","-","0",시스템노드,126.91432092,37.43587390
"2080015700","103","-","0",시스템노드,126.92129882,37.40514899
"2080018300","103","-","0",시스템노드,126.91747648,37.40998068
"2080009100","103","-","0",시스템노드,126.91708586,37.39458096
"2080009300","103","-","0",시스템노드,126.91549479,37.39492687
"2080013400","103",카센터골목삼거리,"1",시스템노드,126.92132720,37.40228140
"2080012600","103",대동서점사거리,"1",시스템노드,126.92007176,37.40042481
"2080010600","103","-","0",시스템노드,126.92928536,37.39628565
"2090022900","101","-","0",,126.93069286,37.40180893
"2090026700","102","-","0",,126.93626432,37.40821790
"2090026500","102","-","0",,126.93253292,37.40796259
"2080010900","101","-","0",,126.93213101,37.39655643
"2080009700","101","-","0",,126.93507254,37.39518274
"2080021500","102","-","0",,126.93321101,37.41861237
"2080010300","101","-","0",,126.93146333,37.39601337
"2080009400","101","-","0",,126.93269457,37.39504515
"2080010200","101","-","0",,126.93372873,37.39586318
"2080011100","101","-","0",,126.93139586,37.39691290
"2080011600","101","-","0",,126.93058179,37.39755881
"2080011400","101",비산대교,"1",,126.93091529,37.39715090
"2090020600","104",비산대교,"0",,126.93168907,37.39762812
"2090026100","101","-","0",,126.93395892,37.40639065
"2080008600","101","-","0",,126.93385539,37.39411690
"2080016100","104",청원지하차도,"0",,126.91920314,37.40556443
"2080016400","104",양명교,"0",,126.92020229,37.40596040
"2080016300","104",청원지하차도,"0",,126.91981307,37.40585453
"2080014900","101","-","0",,126.92175426,37.40387893
"2080012200","103","-","0",,126.91972467,37.39960190
"2080017900","101","-","0",,126.91548961,37.40928528
"2080023900","104",호암터널,"0",,126.91472723,37.43746756
"2080019100","104",유원지입구지하차도,"0",,126.91456429,37.41069912
"2080019200","101","-","0",,126.91949348,37.41070640
"2080001400","101","-","0",,126.91977501,37.41341212
"2080018700","104",고가도로,"0",,126.91838154,37.41028931
"2080019300","103","-","0",시스템노드 (조사 : 도로종점),126.91626326,37.41085631
"2080018600","104",안양교,"0",,126.91471857,37.41021425
"2080020100","104",유원지입구지하차도,"0",,126.91611486,37.41180096
"2080012700","101","-","0",,126.92412257,37.40062581
"2080012000","101","-","1",,126.92478179,37.39865774
"2080009800","104",비산고가교,"0",,126.92763114,37.39541459
"2080023800","102","-","0",,126.92455976,37.43682590
"2080023000","101",삼막사거리,"0",,126.91591161,37.42986771
"2080022600","104",삼막지하차도,"0",,126.91554351,37.42783978
"2080023200","104",삼막지하차도,"0",,126.91493292,37.43233778
"2080011000","101",비산고가교,"0",,126.93038742,37.39687337
"2080010000","103",비산고가교,"0",시스템노드,126.92806976,37.39565406
"2080010100","101",병목안사거리,"0",,126.91486282,37.39569893
"2080008700","101","-","0",,126.91613157,37.39416353
"2080010700","101",장내동성당삼거리,"0",,126.92033620,37.39628831
"2080009500","101","-","0",,126.91802070,37.39507331
"2080009000","101","-","0",,126.91889885,37.39445993
"2080012100","101",안양공고길사거리,"0",,126.91774482,37.39941871
"2080011900","101",삼덕제지삼거리,"1",,126.91838661,37.39861584
"2080011700","101","-","0",,126.91567970,37.39787787
"2080011300","101",냉천로사거리,"1",,126.91644451,37.39696906
"2080012500","101",중앙사거리,"0",,126.92036570,37.40007240
"2080014600","101",카센터골목삼거리,"1",,126.92059960,37.40314443
"2080012800","101",대동서점사거리,"1",,126.91977792,37.40077462
"2080011500","101",벽산사거리,"1",,126.92253704,37.39747250
"2080012900","101",안양역광장,"0",,126.92241148,37.40111065
"2080015600","101","-","0",,126.92237051,37.40451915
"2080013000","101",안일교,"0",,126.92641357,37.40149062
"2080012400","101",임곡교,"0",,126.92806348,37.40006078
"2080014100","101",안양여고사거리,"1",,126.91813317,37.40276084
"2080015200","101","-","1",,126.91683629,37.40432824
"2080015800","101","-","1",,126.91877957,37.40534375
"2080016900","101","-","1",,126.91467879,37.40692059
"2080014800","101","-","0",,126.92007079,37.40378746
"2080016600","103","-","0",시스템노드 (조사 : 도로종점),126.92164467,37.40628153
"2080016800","101",양명교,"0",,126.92122970,37.40663928
"2080008800","101",우체국사거리,"1",,126.92528998,37.39416887
